country,date,population,mobile_sub,health,internetUser,gdp_per_cap,mobile_per_cap,log_gdp_per_cap,log_health,region
Belize,2010,344700,194201,17,13,4064,0.5633913548012764,8.30992323532128,2.833272165855592,The Americas
Benin,2000,6517810,55476,143,0,346,0.008511447863622904,5.846441665226958,4.962851623242449,Africa
Benin,2010,8849892,7074914,115,3,741,0.7994350665522246,6.608001974822842,4.744940823977617,Africa
Bhutan,2000,571262,0,89,0,749,0.0,6.618740318629813,4.488647605624073,Asia
Bhutan,2010,725940,394316,56,14,2088,0.5431798771248313,7.643962427929618,4.02536954771857,Asia
Bolivia,2000,8307248,582620,82,1,1011,0.07013393605198737,6.918696208139666,4.406731442311845,The Americas
Bolivia,2010,9929849,7179293,54,20,1979,0.7230012258998098,7.590347450908148,3.989002564911327,The Americas
Bosnia and Herzegovina,2000,3693698,93386,10,1,1491,0.02528252174379172,7.307202985455325,2.3026850879943788,Europe
Bosnia and Herzegovina,2010,3760149,3110233,8,52,4427,0.8271568493695329,8.39547765861872,2.079566533867987,Europe
Botswana,2000,1757925,222190,96,3,3204,0.1263933330489071,8.072155620298064,4.56435860808025,Africa
Botswana,2010,2006945,2363411,48,6,7427,1.1776162276494873,8.912877422313155,3.8712218440242134,Africa
Brazil,2000,174425387,23188171,36,3,3696,0.13294034428600696,8.215006703324308,3.5835467158480925,The Americas
Brazil,2010,194946470,202944033,19,41,10993,1.0410244053149564,9.305014076545838,2.944491609360395,The Americas
Brunei Darussalam,2000,327036,95000,9,9,18350,0.2904878973568659,9.817384907978628,2.1973356822749484,Asia
Brunei Darussalam,2010,398920,435104,7,50,31008,1.0907049032387446,10.342000546940234,1.9460529959950605,Asia
Bulgaria,2000,8170172,738000,21,5,1579,0.09032857570195585,7.364547647567664,3.0445700556372914,Europe
Bulgaria,2010,7534289,10199942,13,46,6335,1.3538028604955292,8.753845250608423,2.5650262775800314,Europe
Burkina Faso,2000,12294012,25245,191,0,212,0.002053438698449294,5.35659099164202,5.2522786636350185,Africa
Burkina Faso,2010,16468714,5707850,176,1,536,0.34658747489330377,6.284136026740703,5.170489676840192,Africa
Burundi,2000,6374347,16320,164,0,131,0.0025602622511764735,4.875204956759802,5.099872525366584,Africa
Burundi,2010,8382849,1150500,142,2,242,0.13724450959333753,5.488941858379554,4.9558340998299855,Africa
Cambodia,2000,12446949,130547,103,0,294,0.010488273069970801,5.683583168693441,4.634738696920371,Asia
Cambodia,2010,14138255,8150764,51,1,795,0.5765042432747182,6.678343372515176,3.9318452403752318,Asia
Cameroon,2000,15678269,103279,148,0,643,0.006587398136873401,6.466146279446363,4.997219030498045,Africa
Cameroon,2010,19598889,8636652,136,4,1147,0.4406704890261892,7.044905988968572,4.912662238650196,Africa
Canada,2000,30769700,8727000,6,51,23560,0.2836231747465851,10.067305680210344,1.7919261220073759,The Americas
Canada,2010,34126181,24037372,6,81,46212,0.7043674766889386,10.74099480524231,1.7919261220073759,The Americas
Cape Verde,2000,437238,19729,46,2,1233,0.0451218787022171,7.117206314194023,3.828663135383238,Africa
Cape Verde,2010,495999,371871,36,30,3345,0.7497414309303043,8.115222271515947,3.5835467158480925,Africa
Central African Republic,2000,3701607,4967,176,0,259,0.0013418496344965848,5.556831922695945,5.170489676840192,Africa
Central African Republic,2010,4401051,979232,159,2,451,0.222499580213908,6.111469556795121,5.06891049150863,Africa
Chad,2000,8222327,5500,190,0,168,0.0006689103948310497,5.123969931766496,5.24702933530453,Africa
