country,date,population,mobile_sub,health,internetUser,gdp_per_cap,mobile_per_cap,log_gdp_per_cap,log_health,region
Singapore,2010,5076700,7384600,3,71,41987,1.4546063387633699,10.645115349360495,1.09894556645823,Asia
Slovak Republic,2000,5388720,1243736,12,9,5330,0.23080360456657611,8.581106704777133,2.4849899796493045,Europe
Slovak Republic,2010,5430099,5925012,8,80,16036,1.0911425371802614,9.682591536122086,2.079566533867987,Europe
Slovenia,2000,1988925,1215601,5,15,10045,0.6111849365863469,9.214830376801046,1.6096378924367667,Europe
Slovenia,2010,2048583,2121950,3,69,22898,1.0358135355023448,10.038804893155692,1.09894556645823,Europe
Solomon Islands,2000,408732,1151,35,0,1065,0.0028160261491637553,6.970731017110221,3.5553766325098297,Oceania
Solomon Islands,2010,538148,30000,27,5,1261,0.05574674624824398,7.139661128986017,3.295873902355512,Oceania
South Africa,2000,44000000,8339000,78,5,3020,0.18952272727272726,8.013012441494688,4.356721647120231,Africa
South Africa,2010,49991300,50372000,57,12,7272,1.0076153250665616,8.891786773371056,4.043068811540308,Africa
Spain,2000,40263216,24265059,7,14,14414,0.6026607263562851,9.57595530486138,1.9460529959950605,Europe
Spain,2010,46070971,51601028,5,66,30026,1.120033437107284,10.309818985276719,1.6096378924367667,Europe
Sri Lanka,2000,19102000,430202,23,1,855,0.022521306669458695,6.75110263852672,3.135537693244867,Asia
Sri Lanka,2010,20653000,17359312,17,12,2400,0.8405225390984361,7.783224433002617,2.833272165855592,Asia
St. Kitts and Nevis,2000,44286,1200,16,6,8599,0.027096599376778215,9.059401312703482,2.7726512202867375,The Americas
St. Kitts and Nevis,2010,52402,80000,8,76,12847,1.5266592878134422,9.46086567787079,2.079566533867987,The Americas
St. Lucia,2000,155996,2500,18,5,4622,0.01602605195005,8.438583007190859,2.8904273119085677,The Americas
St. Lucia,2010,174000,199000,16,40,6890,1.1436781609195403,8.837826509145575,2.7726512202867375,The Americas
St. Vincent and the Grenadines,2000,107891,2361,22,3,3684,0.021883196930235146,8.211754668819243,3.0910879068707438,The Americas
Sudan,2000,27556383,23000,114,0,362,0.0008346523562254161,5.891646974252895,4.736207220285847,Africa
Suriname,2000,466846,41048,40,3,1911,0.08792621121311953,7.555382467526374,3.6889044538014413,The Americas
Suriname,2010,524636,890000,31,32,8292,1.6964142758026517,9.02304659415383,3.434019462029382,The Americas
Swaziland,2000,1010787,33000,114,1,1508,0.03264782788065141,7.318540211697655,4.736207220285847,Africa
Swaziland,2010,1055506,732700,78,9,3503,0.694169431533312,8.161375308667044,4.356721647120231,Africa
Sweden,2000,8872109,6372300,4,46,27869,0.718239597822795,10.235270274838928,1.3865443298750981,Europe
Sweden,2010,9378126,10885406,3,90,49257,1.1607229418755944,10.80480678878182,1.09894556645823,Europe
Switzerland,2000,7184250,4638519,6,47,34787,0.645651111807078,10.456999061498424,1.7919261220073759,Europe
Switzerland,2010,7826153,9527000,5,82,67644,1.2173286159879573,11.122013952652852,1.6096378924367667,Europe
Syrian Arab Republic,2000,15988534,30000,23,0,1209,0.001876344635474397,7.09754967774431,3.135537693244867,Middle East
Syrian Arab Republic,2010,20446609,11799212,16,21,2893,0.5770742718266877,7.970049650638018,2.7726512202867375,Middle East
Tajikistan,2000,6172807,1160,93,0,139,0.0001879209895919312,4.934481127349418,4.532610245783618,Asia
Tajikistan,2010,6878637,5940842,63,12,820,0.8636655779335354,6.70930555976975,4.143150599281431,Asia
Tanzania,2000,34038161,110518,130,0,308,0.0032468851651533113,5.73010302972155,4.867542142733689,Africa
Tanzania,2010,44841226,20983853,92,11,527,0.46795894920446646,6.267202446072769,4.5217994465551845,Africa
Thailand,2000,63155029,3056000,18,4,1943,0.04838886227096816,7.571988964045347,2.8904273119085677,Asia
Thailand,2010,69122234,71624172,13,21,4614,1.0361958498042758,8.436850655465362,2.5650262775800314,Asia
Timor-Leste,2010,1142502,600600,81,0,766,0.525688357657142,6.641183475222768,4.394461500275244,Asia
Togo,2000,4793504,50000,124,2,270,0.010430782992983839,5.598425662695219,4.820289630088648,Africa
Togo,2010,6027798,2452433,103,5,527,0.40685387931048783,6.267202446072769,4.634738696920371,Africa
Tonga,2000,97935,180,20,2,1926,0.001837953744830755,7.563201111568736,2.995782272304033,Oceania
Tonga,2010,104058,54300,16,12,3435,0.521824367179842,8.141772495777223,2.7726512202867375,Oceania
Trinidad and Tobago,2000,1292058,161860,32,8,6311,0.12527301405974034,8.750049580037722,3.4657671523114555,The Americas
Trinidad and Tobago,2010,1341465,1894240,27,49,15614,1.4120681493740053,9.655923290725323,3.295873902355512,The Americas
Tunisia,2000,9563500,119165,28,3,2245,0.012460396298426308,7.716461245610554,3.3322402238231783,Africa
Tunisia,2010,10549100,11114206,16,37,4194,1.0535691196405381,8.341410449897698,2.7726512202867375,Africa
Turkey,2000,63627862,16133405,43,4,4189,0.2535588104469077,8.340217559667465,3.7612233712371035,Europe
Turkey,2010,72752325,61769635,18,40,10050,0.8490400134978504,9.215328012989705,2.8904273119085677,Europe
Turkmenistan,2000,4501419,7500,74,0,645,0.0016661412767840541,6.469251867182168,4.304078606626376,Asia
Turkmenistan,2010,5041995,3197624,56,2,3967,0.6341981695737501,8.285765672593955,4.02536954771857,Asia
Uganda,2000,24213120,126913,144,0,256,0.005241497171781249,5.545181350721933,4.969820243996333,Africa
Uganda,2010,33424683,12828264,99,13,515,0.3837961305422104,6.244168842409424,4.595129951093676,Africa
Ukraine,2000,49175848,818524,18,1,636,0.016644837522679833,6.45520013566593,2.8904273119085677,Europe
Ukraine,2010,45870700,53919545,13,45,2974,1.1754681092723678,7.997663463267522,2.5650262775800314,Europe
United Arab Emirates,2000,3033491,1428115,12,24,34395,0.4707826725050445,10.445666513034107,2.4849899796493045,Middle East
United Arab Emirates,2010,7511690,10926019,7,78,39625,1.4545353974937731,10.587215536416174,1.9460529959950605,Middle East
United Kingdom,2000,58892514,43452000,7,27,25083,0.7378187319359469,10.129945644685806,1.9460529959950605,Europe
United Kingdom,2010,62231336,81115492,5,85,36186,1.303450917396342,10.496427610314038,1.6096378924367667,Europe
United States,2000,282162411,109478031,9,43,35082,0.3879965109881344,10.465443485908372,2.1973356822749484,The Americas
United States,2010,309349689,278900000,8,74,46702,0.9015687098363302,10.75154229070478,2.079566533867987,The Americas
Uruguay,2000,3300847,410787,17,11,6914,0.12444896718933049,8.841303765115635,2.833272165855592,The Americas
Uruguay,2010,3356584,4437158,11,48,11742,1.3219266969037569,9.370927521788495,2.3979861777572986,The Americas
Uzbekistan,2000,24650400,53128,63,0,558,0.002155259143867848,6.324360754494401,4.143150599281431,Asia
Uzbekistan,2010,28562400,20952000,52,19,1377,0.7335518023695488,7.227663224944804,3.9512629491657494,Asia
Vanuatu,2000,185074,365,23,2,1470,0.0019721840993332396,7.29301836004466,3.135537693244867,Oceania
Vanuatu,2010,239651,285300,14,8,2875,1.1904811580172834,7.963808301057477,2.639128755635788,Oceania
Vietnam,2000,77630900,788559,35,0,402,0.01015779799023327,5.996454576178116,3.5553766325098297,Asia
Vietnam,2010,86927700,154000000,23,28,1224,1.7715871925749789,7.1098802800654015,3.135537693244867,Asia
Zambia,2000,10201562,98853,157,0,317,0.00968998669027351,5.758904928446437,5.056252174754775,Africa
Zambia,2010,12926409,5446991,111,10,1253,0.42138470165998926,7.133296752980347,4.709539210280762,Africa
Zimbabwe,2000,12509477,266441,115,0,535,0.021299131850196454,6.2822686160531385,4.744940823977617,Africa
Zimbabwe,2010,12571454,7700000,80,12,595,0.6124987610820515,6.388563086216486,4.3820391345957574,Africa
